feature,importance
gefs_7d_total,0.2583451569080353
gefs_d4,0.061630066484212875
sin_day_of_year,0.058418165892362595
cos_day_of_year,0.05137025564908981
enso_value,0.05098457634449005
gefs_3d_total,0.05005049332976341
gefs_d3,0.042629070580005646
rain_lag_2,0.03936178982257843
rain_lag_1,0.03762582316994667
rain_7d,0.03314723074436188
gefs_d7,0.03133872151374817
rain_14d,0.028181465342640877
gefs_d5,0.02551775611937046
rain_lag_4,0.023722874000668526
rain_lag_5,0.022387662902474403
rain_30d,0.02201741188764572
rain_lag_6,0.02059166133403778
rain_3d,0.020369695499539375
gefs_d6,0.019955893978476524
rain_lag_3,0.019877035170793533
gefs_d2,0.015388383530080318
rain_1d,0.01450185663998127
rain_lag_7,0.01430689636617899
gefs_d1,0.010930607095360756
soil_sand,0.008396539837121964
soil_clay,0.007424327544867992
soil_silt,0.004434810485690832
soil_soc,0.0038887953851372004
longitude,0.0016231742920354009
soil_ph,0.0015818041283637285
latitude,0.0
