# Saarthi dynamic block geography — India-wide LGD registry.
# GENERATED by scripts/build_india_blocks.py — do not hand-edit rows.
# Hierarchy + LGD codes: Ministry of Panchayati Raj LGD block table via the
# India Data Portal CKAN mirror (ODbL):
# https://ckandev.indiadataportal.com/dataset/lgd-codes (block-lgd-codes.csv).
# Coordinates: Sangrur/Malerkotla seed rows are Bhuvan polygon bbox-centres
# (location_method=bhuvan_polygon_centroid); rows joined to the bharatlas
# LGD block polygons use true polygon bbox-centres
# (location_method=polygon_centroid); the small remainder without polygons
# uses Open-Meteo geocoding town locations accepted ONLY on admin1
# (state) match (location_method=geocoded_centroid). Per-row queries in
# data/processed/geography/blocks_build.json. Rows without verified
# coordinates are DROPPED (never invented) — see skipped list there.
# Legacy deviations: 'Moonak' keeps Bhuvan ID bhuvan_b_274 (no current LGD
# development-block entry); legacy 'Lehra' = LGD 'Lehragaga' (344).
state_code,state_name,district_code,district_name,block_code,block_name,latitude,longitude,location_method
1,Jammu and Kashmir,14,Udhampur,125,Dudu,32.85066,75.54182,polygon_centroid
1,Jammu and Kashmir,14,Udhampur,126,Ghordi,32.90132,75.28363,polygon_centroid
1,Jammu and Kashmir,14,Udhampur,130,Panchari,33.09368,75.10537,polygon_centroid
1,Jammu and Kashmir,14,Udhampur,132,Ramnagar,32.76823,75.27509,polygon_centroid
1,Jammu and Kashmir,14,Udhampur,134,Udhampur,32.91808,75.07699,polygon_centroid
1,Jammu and Kashmir,14,Udhampur,6925,Khoon,32.70573,75.45044,polygon_centroid
1,Jammu and Kashmir,2,Budgam,13,B.k.pora,34.00612,74.86131,polygon_centroid
1,Jammu and Kashmir,2,Budgam,14,Badgam,34.03,74.74503,polygon_centroid
1,Jammu and Kashmir,2,Budgam,15,Beerwah,34.00412,74.62049,polygon_centroid
1,Jammu and Kashmir,2,Budgam,16,Chadoora,33.90328,74.74333,polygon_centroid
1,Jammu and Kashmir,2,Budgam,17,Khag,33.92883,74.48608,polygon_centroid
1,Jammu and Kashmir,2,Budgam,18,Khan-sahib,33.85468,74.59243,polygon_centroid
1,Jammu and Kashmir,2,Budgam,19,Nagam,33.80814,74.67993,polygon_centroid
1,Jammu and Kashmir,2,Budgam,20,Narbal,34.10578,74.64954,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6915,Parnewa,33.98103,74.73541,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6916,Sukhnag Hard Panzoo,33.91472,74.54335,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6917,Waterhail,34.00467,74.65464,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6918,Pakherpora,33.8372,74.78193,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6919,Charisharief,33.8736,74.7642,polygon_centroid
1,Jammu and Kashmir,2,Budgam,6920,Surasyar,33.90848,74.71708,polygon_centroid
