arm,scope,n,mae,rmse,r2,bias,accuracy,macro_f1
raw-gefs-apcp,overall,3660,20.456816845118478,30.490432793990283,0.24577330338005543,-4.80764011313627,0.6256830601092896,0.6036905301254639
raw-gefs-apcp,by_block:Dhuri,610,20.78538518568745,30.564379837336432,0.26101799021546346,-5.291931504425096,,
raw-gefs-apcp,by_block:Lehra,610,20.289561852111966,30.692268047481168,0.20658648182467187,-4.66515101001845,,
raw-gefs-apcp,by_block:Malerkotla,610,20.839823464481103,30.690493800522372,0.2747349385685446,-4.446959513653132,,
raw-gefs-apcp,by_block:Moonak,610,20.114473507672344,29.962894998758628,0.1616062341536506,-3.7272989911751457,,
raw-gefs-apcp,by_block:Sangrur,610,20.495778703733446,30.438692919662913,0.29214101017120886,-5.624224697304807,,
raw-gefs-apcp,by_block:Sunam,610,20.215878357024565,30.587690432027454,0.24587523044422044,-5.090274962240992,,
raw-gefs-apcp,by_period:2021-2022,1464,18.76901040096566,26.992008297907123,0.24225668004492507,-4.832883221375297,,
raw-gefs-apcp,by_period:2023-2025,2196,21.58202114122036,32.614901685761254,0.244137297725735,-4.790811374310253,,
chirps-gefs,overall,3660,19.336235771162546,28.574909602471244,0.3375631962519857,-4.225005191863713,0.6377049180327868,0.6077330330875252
chirps-gefs,by_block:Dhuri,610,19.727715499064452,28.8395767450525,0.3420688420304925,-5.309547312584896,,
chirps-gefs,by_block:Lehra,610,18.79138138060408,27.903840006281275,0.3442027712034349,-3.9919574951918118,,
chirps-gefs,by_block:Malerkotla,610,19.428358034413485,28.640318094846528,0.3683962810532797,-5.536172913968791,,
chirps-gefs,by_block:Moonak,610,18.57507463448759,27.65858083812298,0.28560191620007147,-3.717946731791857,,
chirps-gefs,by_block:Sangrur,610,20.037580787003677,29.468692736483955,0.33653732650686674,-3.4539147204650376,,
chirps-gefs,by_block:Sunam,610,19.457304291401986,28.89876316827806,0.3268554328716312,-3.3404919771798887,,
chirps-gefs,by_period:2021-2022,1464,19.031420290764387,26.95487799126195,0.244339955216338,-4.428711693406774,,
chirps-gefs,by_period:2023-2025,2196,19.539446091427983,29.605722413633604,0.37718065420763824,-4.089200857501674,,
