forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source,product,statistic,init_time,member_count,mean_source,model_era
2026-09-13,live,6,Moonak,2026-09-19,0.06103515625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Sangrur,2026-09-19,0.431060791015625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,6,Sunam,2026-09-19,0.3753662109375,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Dhuri,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Lehra,2026-09-20,0.0,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Malerkotla,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Moonak,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Sangrur,2026-09-20,0.0,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-13,live,7,Sunam,2026-09-20,0.0,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Dhuri,2026-09-15,1.2664794921875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Lehra,2026-09-15,1.65557861328125,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Malerkotla,2026-09-15,1.3332366943359375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Moonak,2026-09-15,1.44195556640625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Sangrur,2026-09-15,1.255035400390625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,1,Sunam,2026-09-15,1.2969970703125,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Dhuri,2026-09-16,0.5550384521484375,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Lehra,2026-09-16,0.6663004557291666,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Malerkotla,2026-09-16,0.4291534423828125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Moonak,2026-09-16,0.60272216796875,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Sangrur,2026-09-16,0.5359649658203125,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,2,Sunam,2026-09-16,0.62408447265625,5,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,3,Dhuri,2026-09-17,0.6961822509765625,4,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
2026-09-14,live,3,Lehra,2026-09-17,0.70953369140625,3,ecmwf-open-data,ifs-hres,deterministic,00Z,-1,open-data-tp-differenced,open-data-rolling
