arm,group,n,mae,rmse,r2,bias
raw-gefs-apcp,overall,25620,4.152532678655527,8.108612097386489,0.1294803302908324,-0.6868057304480386
raw-gefs-apcp,lead_1,3660,3.9011826407441883,7.994523228632482,0.1555059579301601,-0.9683945811457987
raw-gefs-apcp,lead_2,3660,4.0591960708757435,8.231271407378268,0.10449457085245217,-0.6616105778265999
raw-gefs-apcp,lead_3,3660,4.151988081856737,8.033552730898851,0.14665582821991086,-0.6058005791524426
raw-gefs-apcp,lead_4,3660,4.176929953270394,8.071920032764186,0.1382329244517123,-0.5529451464894423
raw-gefs-apcp,lead_5,3660,4.181089016846239,8.040260949964106,0.14405374114411984,-0.5663978411254561
raw-gefs-apcp,lead_6,3660,4.202402957524343,8.11438537815861,0.12579482603797543,-0.7282242324018675
raw-gefs-apcp,lead_7,3660,4.3949400294710435,8.27030783476928,0.09143333178634361,-0.7242671549946629
chirps-gefs,overall,25620,4.0865676375289715,7.934535970670868,0.16645585496625048,-0.6035721702662449
chirps-gefs,lead_1,3660,3.8136560350709083,7.692427079923673,0.21812337683896021,-0.8252252848101622
chirps-gefs,lead_2,3660,3.899374382918975,7.86180540282733,0.18308107098563997,-0.5574687202752177
chirps-gefs,lead_3,3660,4.042527499258099,7.74639200920528,0.20657136348099325,-0.5273044896243252
chirps-gefs,lead_4,3660,4.114109230381242,7.955599250068956,0.1628910363939503,-0.4769342680476428
chirps-gefs,lead_5,3660,4.145286898073136,7.94657609652411,0.16388444548658732,-0.5107863665474072
chirps-gefs,lead_6,3660,4.210808392586743,8.067638005162689,0.13583848939257548,-0.6695371562762601
chirps-gefs,lead_7,3660,4.380211024413692,8.257336476676375,0.09428113422025597,-0.6577489062826981
