forecast_date,split,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_issue,source_target,target_7d_rainfall_mm
2024-08-01,test,2,Dhuri,2024-08-03,7.838684472170743,22,2024.08.01,2024.08.03,33.880927830957326
2024-08-01,test,2,Lehra,2024-08-03,3.3891361206769943,16,2024.08.01,2024.08.03,26.794562546805988
2024-08-01,test,2,Malerkotla,2024-08-03,9.257041811943054,28,2024.08.01,2024.08.03,26.51280014169004
2024-08-01,test,2,Moonak,2024-08-03,3.30987940231959,12,2024.08.01,2024.08.03,19.87604245921019
2024-08-01,test,2,Sangrur,2024-08-03,6.830980266843524,28,2024.08.01,2024.08.03,36.777077300221194
2024-08-01,test,2,Sunam,2024-08-03,4.94289323261806,28,2024.08.01,2024.08.03,35.10022849823536
2024-08-01,test,3,Dhuri,2024-08-04,3.9780054200779302,22,2024.08.01,2024.08.04,33.880927830957326
2024-08-01,test,3,Lehra,2024-08-04,2.3426819890737534,16,2024.08.01,2024.08.04,26.794562546805988
2024-08-01,test,3,Malerkotla,2024-08-04,4.3006773591041565,28,2024.08.01,2024.08.04,26.51280014169004
2024-08-01,test,3,Moonak,2024-08-04,2.240078349908193,12,2024.08.01,2024.08.04,19.87604245921019
2024-08-01,test,3,Sangrur,2024-08-04,3.6149486558777935,28,2024.08.01,2024.08.04,36.777077300221194
2024-08-01,test,3,Sunam,2024-08-04,2.9277758853776112,28,2024.08.01,2024.08.04,35.10022849823536
2024-08-01,test,4,Dhuri,2024-08-05,6.992589517073198,22,2024.08.01,2024.08.05,33.880927830957326
2024-08-01,test,4,Lehra,2024-08-05,4.828883826732636,16,2024.08.01,2024.08.05,26.794562546805988
2024-08-01,test,4,Malerkotla,2024-08-05,7.2137482677187235,28,2024.08.01,2024.08.05,26.51280014169004
2024-08-01,test,4,Moonak,2024-08-05,4.869961420694987,12,2024.08.01,2024.08.05,19.87604245921019
2024-08-01,test,4,Sangrur,2024-08-05,6.7994367735726495,28,2024.08.01,2024.08.05,36.777077300221194
2024-08-01,test,4,Sunam,2024-08-05,5.796278595924377,28,2024.08.01,2024.08.05,35.10022849823536
2024-08-01,test,5,Dhuri,2024-08-06,10.40111528743397,22,2024.08.01,2024.08.06,33.880927830957326
2024-08-01,test,5,Lehra,2024-08-06,8.737726002931595,16,2024.08.01,2024.08.06,26.794562546805988
2024-08-01,test,5,Malerkotla,2024-08-06,11.362311056682042,28,2024.08.01,2024.08.06,26.51280014169004
2024-08-01,test,5,Moonak,2024-08-06,9.26011864344279,12,2024.08.01,2024.08.06,19.87604245921019
2024-08-01,test,5,Sangrur,2024-08-06,11.217174189431327,28,2024.08.01,2024.08.06,36.777077300221194
2024-08-01,test,5,Sunam,2024-08-06,10.312150955200195,28,2024.08.01,2024.08.06,35.10022849823536
2024-08-01,test,6,Dhuri,2024-08-07,15.521328752691096,22,2024.08.01,2024.08.07,33.880927830957326
2024-08-01,test,6,Lehra,2024-08-07,11.902693033218384,16,2024.08.01,2024.08.07,26.794562546805988
2024-08-01,test,6,Malerkotla,2024-08-07,15.16467036519732,28,2024.08.01,2024.08.07,26.51280014169004
2024-08-01,test,6,Moonak,2024-08-07,12.765873432159424,12,2024.08.01,2024.08.07,19.87604245921019
2024-08-01,test,6,Sangrur,2024-08-07,16.37991632734026,28,2024.08.01,2024.08.07,36.777077300221194
2024-08-01,test,6,Sunam,2024-08-07,14.838822637285505,28,2024.08.01,2024.08.07,35.10022849823536
2024-08-01,test,7,Dhuri,2024-08-08,16.392768469723787,22,2024.08.01,2024.08.08,33.880927830957326
2024-08-01,test,7,Lehra,2024-08-08,12.477922797203064,16,2024.08.01,2024.08.08,26.794562546805988
2024-08-01,test,7,Malerkotla,2024-08-08,16.04494970185416,28,2024.08.01,2024.08.08,26.51280014169004
2024-08-01,test,7,Moonak,2024-08-08,11.595038016637169,12,2024.08.01,2024.08.08,19.87604245921019
2024-08-01,test,7,Sangrur,2024-08-08,17.44438546044486,28,2024.08.01,2024.08.08,36.777077300221194
2024-08-01,test,7,Sunam,2024-08-08,15.00245237350464,28,2024.08.01,2024.08.08,35.10022849823536
2019-09-04,train,1,Dhuri,2019-09-05,1.016368026083166,22,2019.09.04,2019.09.05,10.378553446438321
2019-09-04,train,1,Lehra,2019-09-05,0.1675411271862685,16,2019.09.04,2019.09.05,10.751353417509446
2019-09-04,train,1,Malerkotla,2019-09-05,1.5683064120156425,28,2019.09.04,2019.09.05,10.31244105943146
2019-09-04,train,1,Moonak,2019-09-05,0.2165986951440572,12,2019.09.04,2019.09.05,10.607758477505175
2019-09-04,train,1,Sangrur,2019-09-05,0.7891698522227151,28,2019.09.04,2019.09.05,11.1115646125505
2019-09-04,train,1,Sunam,2019-09-05,0.410402562469244,28,2019.09.04,2019.09.05,9.705225599453824
2019-09-04,train,2,Dhuri,2019-09-06,0.1479369574649767,22,2019.09.04,2019.09.06,10.378553446438321
2019-09-04,train,2,Lehra,2019-09-06,0.0913294020574539,16,2019.09.04,2019.09.06,10.751353417509446
2019-09-04,train,2,Malerkotla,2019-09-06,0.2480492798079337,28,2019.09.04,2019.09.06,10.31244105943146
2019-09-04,train,2,Moonak,2019-09-06,0.0963005448381106,12,2019.09.04,2019.09.06,10.607758477505175
2019-09-04,train,2,Sangrur,2019-09-06,0.2743627868060554,28,2019.09.04,2019.09.06,11.1115646125505
2019-09-04,train,2,Sunam,2019-09-06,0.1615169114832367,28,2019.09.04,2019.09.06,9.705225599453824
2019-09-04,train,3,Dhuri,2019-09-07,1.3502230590040034,22,2019.09.04,2019.09.07,10.378553446438321
2019-09-04,train,3,Lehra,2019-09-07,1.637280598282814,16,2019.09.04,2019.09.07,10.751353417509446
2019-09-04,train,3,Malerkotla,2019-09-07,1.3382674029895238,28,2019.09.04,2019.09.07,10.31244105943146
2019-09-04,train,3,Moonak,2019-09-07,1.4384283423423767,12,2019.09.04,2019.09.07,10.607758477505175
2019-09-04,train,3,Sangrur,2019-09-07,1.3199924060276575,28,2019.09.04,2019.09.07,11.1115646125505
2019-09-04,train,3,Sunam,2019-09-07,1.3809378615447454,28,2019.09.04,2019.09.07,9.705225599453824
2019-09-04,train,4,Dhuri,2019-09-08,0.5730605477636511,22,2019.09.04,2019.09.08,10.378553446438321
2019-09-04,train,4,Lehra,2019-09-08,0.5579756461083889,16,2019.09.04,2019.09.08,10.751353417509446
2019-09-04,train,4,Malerkotla,2019-09-08,0.5085858484464032,28,2019.09.04,2019.09.08,10.31244105943146
2019-09-04,train,4,Moonak,2019-09-08,0.6768711904684702,12,2019.09.04,2019.09.08,10.607758477505175
2019-09-04,train,4,Sangrur,2019-09-08,0.8042887513126645,28,2019.09.04,2019.09.08,11.1115646125505
2019-09-04,train,4,Sunam,2019-09-08,0.7259529541645732,28,2019.09.04,2019.09.08,9.705225599453824
2019-09-04,train,5,Dhuri,2019-09-09,0.4569054381413893,22,2019.09.04,2019.09.09,10.378553446438321
2019-09-04,train,5,Lehra,2019-09-09,0.426452524960041,16,2019.09.04,2019.09.09,10.751353417509446
2019-09-04,train,5,Malerkotla,2019-09-09,0.3593536636659077,28,2019.09.04,2019.09.09,10.31244105943146
2019-09-04,train,5,Moonak,2019-09-09,0.2631221438447634,12,2019.09.04,2019.09.09,10.607758477505175
2019-09-04,train,5,Sangrur,2019-09-09,0.4225458885942186,28,2019.09.04,2019.09.09,11.1115646125505
2019-09-04,train,5,Sunam,2019-09-09,0.4177490664379937,28,2019.09.04,2019.09.09,9.705225599453824
2019-09-04,train,6,Dhuri,2019-09-10,0.9489902041175148,22,2019.09.04,2019.09.10,10.378553446438321
2019-09-04,train,6,Lehra,2019-09-10,0.3466737288981676,16,2019.09.04,2019.09.10,10.751353417509446
2019-09-04,train,6,Malerkotla,2019-09-10,1.224850514105388,28,2019.09.04,2019.09.10,10.31244105943146
2019-09-04,train,6,Moonak,2019-09-10,0.3792675323784351,12,2019.09.04,2019.09.10,10.607758477505175
2019-09-04,train,6,Sangrur,2019-09-10,0.8979282331253801,28,2019.09.04,2019.09.10,11.1115646125505
2019-09-04,train,6,Sunam,2019-09-10,0.6018286528331893,28,2019.09.04,2019.09.10,9.705225599453824
2019-09-04,train,7,Dhuri,2019-09-11,1.5362256656993518,22,2019.09.04,2019.09.11,10.378553446438321
2019-09-04,train,7,Lehra,2019-09-11,0.6554194986820221,16,2019.09.04,2019.09.11,10.751353417509446
2019-09-04,train,7,Malerkotla,2019-09-11,1.8642935114247456,28,2019.09.04,2019.09.11,10.31244105943146
2019-09-04,train,7,Moonak,2019-09-11,0.9926115175088248,12,2019.09.04,2019.09.11,10.607758477505175
