forecast_date,lead_day,block,forecast_target_date,forecast_rainfall_mm,valid_pixel_count,source_file,source_date,target_7d_rainfall_mm,target_start,target_end,target_d1_mm,target_d2_mm,target_d3_mm,target_d4_mm,target_d5_mm,target_d6_mm,target_d7_mm
2010-07-15,1,Dhuri,2010-07-15,0.0,22,c3g_2010.07.15.tif,2010.07.15,76.38049548408519,2010-07-16,2010-07-22,0.5903637079581529,2.341548114731392,2.4702704631698778,7.737146938276648,10.793486721494588,21.475214494968423,30.972465043486107
2010-07-15,1,Lehra,2010-07-15,0.0,16,c3g_2010.07.15.tif,2010.07.15,72.36743979932093,2010-07-16,2010-07-22,0.809883018414756,1.674444985252025,3.0605491314592657,8.202150140947275,11.712755726064495,24.90595065385079,22.001706143332328
2010-07-15,1,Malerkotla,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15,73.78426230141362,2010-07-16,2010-07-22,0.6786893243901433,2.4673034322226326,2.871127308142327,8.674767091799351,17.14268695506312,16.238929616979192,25.710758572816854
2010-07-15,1,Moonak,2010-07-15,0.0008627500695486,12,c3g_2010.07.15.tif,2010.07.15,62.798805409322,2010-07-16,2010-07-22,0.7404156160922126,1.163297086104454,2.375391965626773,7.551406546008403,11.33706244170634,25.5207314627218,14.11050029106202
2010-07-15,1,Sangrur,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15,72.80684649082067,2010-07-16,2010-07-22,0.4472111299860783,1.5108765066018943,1.8001478229183767,5.248550523191215,10.957886015188716,23.538006009121347,29.304168483813037
2010-07-15,1,Sunam,2010-07-15,0.0,28,c3g_2010.07.15.tif,2010.07.15,71.5733032729801,2010-07-16,2010-07-22,0.6038026413515903,1.3469747471527478,1.908758783745896,5.921679167977462,9.517346057534551,26.0692900995564,26.20545177566145
2019-09-04,1,Dhuri,2019-09-04,2.649181019176136,22,c3g_2019.09.04.tif,2019.09.04,10.378553446438321,2019-09-05,2019-09-11,4.4243393689090125,1.6870113103710662,1.861836583516292,1.7290697450098098,0.3447182577136299,0.2117484214074308,0.1198297595110786
2019-09-04,1,Lehra,2019-09-04,1.52329808101058,16,c3g_2019.09.04.tif,2019.09.04,10.751353417509446,2019-09-05,2019-09-11,2.7999742392919864,2.189473411488078,1.803345194498186,1.6766260745958903,0.1298700844058019,0.0388319560592049,2.113232457170299
2019-09-04,1,Malerkotla,2019-09-04,3.5131907037326267,28,c3g_2019.09.04.tif,2019.09.04,10.31244105943146,2019-09-05,2019-09-11,4.88742952066518,1.389221607024471,1.5446562889076416,1.4998531810939308,0.4567784599117224,0.3308585351998252,0.2036434666286888
2019-09-04,1,Moonak,2019-09-04,1.827933649222056,12,c3g_2019.09.04.tif,2019.09.04,10.607758477505175,2019-09-05,2019-09-11,4.061633847681922,1.8933713485182715,1.4660823081628551,1.5264023071081816,0.108090699247058,0.0331160780669888,1.5190618887199006
2019-09-04,1,Sangrur,2019-09-04,2.499116974217551,28,c3g_2019.09.04.tif,2019.09.04,11.1115646125505,2019-09-05,2019-09-11,4.731332353455698,1.77219191493271,2.0153756232073703,1.7949944785827,0.3266792362205721,0.2203037844080571,0.2506872217433922
2019-09-04,1,Sunam,2019-09-04,2.0017949555601398,28,c3g_2019.09.04.tif,2019.09.04,9.705225599453824,2019-09-05,2019-09-11,3.3313752885863845,1.7259799479266251,1.7232152320512888,1.7094743357041104,0.2007451445731379,0.0905484020600118,0.9238872485522636
2025-08-01,1,Dhuri,2025-08-01,14.59963356364857,22,c3g_2025.08.01.tif,2025.08.01,7.344252474764617,2025-08-02,2025-08-08,0.8579210303324949,1.234035609958581,1.0851279685247175,1.5562095284907698,1.7866590963505635,0.1585686267885219,0.6657306143189677
2025-08-01,1,Lehra,2025-08-01,11.42333608865738,16,c3g_2025.08.01.tif,2025.08.01,9.540942874462663,2025-08-02,2025-08-08,2.295292699942178,2.156517108697709,2.186192783030521,1.5607406545511469,0.977165424532382,0.0411557841349594,0.3238784195737687
2025-08-01,1,Malerkotla,2025-08-01,15.536925077438354,28,c3g_2025.08.01.tif,2025.08.01,8.34262983284314,2025-08-02,2025-08-08,0.9353638889528588,0.8166498154468301,0.9334088728322448,1.3666250805206972,2.884851363487542,0.3979022847255692,1.0078285268773992
2025-08-01,1,Moonak,2025-08-01,10.816149552663168,12,c3g_2025.08.01.tif,2025.08.01,15.2254156889925,2025-08-02,2025-08-08,3.179742128250098,3.1252176385851818,4.194267910292485,2.603950248923977,1.753591592687635,0.0434402360507217,0.3252059342024018
2025-08-01,1,Sangrur,2025-08-01,15.098113536834717,28,c3g_2025.08.01.tif,2025.08.01,12.596578953372124,2025-08-02,2025-08-08,1.4160529275980762,2.7147127103438,2.369644435190699,3.1393982256181507,2.066325013327695,0.1041340641842151,0.7863115771094863
2025-08-01,1,Sunam,2025-08-01,13.515436172485352,28,c3g_2025.08.01.tif,2025.08.01,12.808431879365978,2025-08-02,2025-08-08,1.5578972250500316,3.3231403896877363,3.140564729162259,3.096868181982505,1.2568404847080217,0.0539035090120709,0.3792173597633531
2009-12-31,1,Dhuri,2009-12-31,0.0,22,c3g_2009.12.31.tif,2009.12.31,0.7985316558387412,2010-01-01,2010-01-07,0.0,0.0002889147932187894,0.798230208552751,1.2532492771417664e-05,0.0,0.0,0.0
2009-12-31,1,Lehra,2009-12-31,0.0,16,c3g_2009.12.31.tif,2009.12.31,0.1772209474096287,2010-01-01,2010-01-07,0.0,0.0050809842745055,0.1721399631351232,0.0,0.0,0.0,0.0
