forecast_date,block,gefs_d1,gefs_d2,gefs_d3,gefs_d4,gefs_d5,gefs_d6,gefs_d7,target_7d_rainfall_mm
2009-12-31,Dhuri,0.0,,,,,,,0.7985316558387412
2009-12-31,Lehra,0.0,,,,,,,0.1772209474096287
2009-12-31,Malerkotla,0.0,,,,,,,1.3970225509318224
2009-12-31,Moonak,0.0,,,,,,,0.391119246105383
2009-12-31,Sangrur,0.0,,,,,,,1.3126518872881872
2009-12-31,Sunam,0.0,,,,,,,0.4106174923763836
2010-01-01,Dhuri,0.0,,,,,,,0.7985316558387412
2010-01-01,Lehra,0.0,,,,,,,0.1772209474096287
2010-01-01,Malerkotla,0.0,,,,,,,1.3970225509318224
2010-01-01,Moonak,0.0,,,,,,,0.391119246105383
2010-01-01,Sangrur,0.0,,,,,,,1.3126518872881872
2010-01-01,Sunam,0.0,,,,,,,0.4106174923763836
2010-01-02,Dhuri,0.0,,,,,,,0.7982427410455224
2010-01-02,Lehra,0.0,,,,,,,0.1721399631351232
2010-01-02,Malerkotla,0.0,,,,,,,1.3970031740961175
2010-01-02,Moonak,0.0,,,,,,,0.3706196995743618
2010-01-02,Sangrur,0.0,,,,,,,1.3114079049745646
2010-01-02,Sunam,0.0,,,,,,,0.4081542088584713
2010-07-15,Dhuri,0.0,,,,,,,76.38049548408519
2010-07-15,Lehra,0.0,,,,,,,72.36743979932093
2010-07-15,Malerkotla,0.0,,,,,,,73.78426230141362
2010-07-15,Moonak,0.0008627500695486,,,,,,,62.798805409322
2010-07-15,Sangrur,0.0,,,,,,,72.80684649082067
2010-07-15,Sunam,0.0,,,,,,,71.5733032729801
2019-09-04,Dhuri,2.649181019176136,,,,,,,10.37855344643832
2019-09-04,Lehra,1.52329808101058,,,,,,,10.751353417509446
2019-09-04,Malerkotla,3.5131907037326267,,,,,,,10.31244105943146
2019-09-04,Moonak,1.827933649222056,,,,,,,10.607758477505175
2019-09-04,Sangrur,2.499116974217551,,,,,,,11.1115646125505
2019-09-04,Sunam,2.00179495556014,,,,,,,9.705225599453824
2025-08-01,Dhuri,14.59963356364857,,,,,,,7.344252474764617
2025-08-01,Lehra,11.42333608865738,,,,,,,9.540942874462663
2025-08-01,Malerkotla,15.536925077438354,,,,,,,8.34262983284314
2025-08-01,Moonak,10.816149552663168,,,,,,,15.2254156889925
2025-08-01,Sangrur,15.098113536834717,,,,,,,12.596578953372124
2025-08-01,Sunam,13.515436172485352,,,,,,,12.808431879365978
