forecast_date,block,gefs_d1,gefs_d2,gefs_d3,gefs_d4,gefs_d5,gefs_d6,gefs_d7,target_7d_rainfall_mm
2016-06-01,Dhuri,0.0006714734322899,0.0386862925846468,0.0,0.0,0.0,0.1005942557345737,0.0228987844576212,0.0
2016-06-01,Lehra,0.0,0.0801148845348507,0.0,0.0,0.0,0.0306016915710642,0.031109971110709,0.0
2016-06-01,Malerkotla,0.0010529445945784,0.0094749873179742,0.0,0.0,0.0,0.1338491147117955,0.0126150978446405,0.0004214348584355321
2016-06-01,Moonak,0.0,0.0526431898276011,0.0,0.0,0.0,0.0434384372395773,0.0279656670366724,0.04674716554321599
2016-06-01,Sangrur,0.0,0.0543509971217385,0.0,0.0,0.0,0.1000001543268029,0.0241086805305842,0.063713536046894
2016-06-01,Sunam,0.0,0.0746785106935671,0.0,0.0,0.0,0.0690029775058584,0.025359726643988,0.0514824820876168
2016-06-02,Dhuri,0.0,0.0,0.0,0.0,0.0137287250465967,0.0310575414279645,0.0740113679996945,0.0
2016-06-02,Lehra,0.0,0.0,0.0,0.0,0.0704913176596164,0.0,0.0908232782967388,0.0
2016-06-02,Malerkotla,0.0,0.0020533778837748,0.0,0.0,0.0015484944243715,0.0522493918792211,0.1072259332452501,0.00047155853726075126
2016-06-02,Moonak,0.0,0.0,0.0,0.0,0.0712966776142517,0.0,0.114271809036533,0.048386569319752694
2016-06-02,Sangrur,0.0,0.0,0.0,0.0,0.0248192052489944,0.0057251641160941,0.0752094426591481,0.06762964472998971
2016-06-02,Sunam,0.0,0.0,0.0,0.0,0.0476819699231003,0.0024077689636864,0.0688200353511742,0.0525047559856821
2016-06-03,Dhuri,0.0,0.0,0.0004337496039542,0.0,0.0,0.1353656388819217,0.2279319190843538,0.0
2016-06-03,Lehra,0.0,0.0,0.0014103408320806,0.0,0.0060531480048666,0.153592362999916,0.2900476111099124,0.0
2016-06-03,Malerkotla,0.0,5.484702290102307e-05,0.0,0.0,0.0,0.1066718362271785,0.4257784060069493,0.0006854504688817543
2016-06-03,Moonak,0.0,0.0,0.0,0.0,0.000840947793525,0.2004359662532806,0.3458823362986247,0.07022092422954379
2016-06-03,Sangrur,0.0,0.0,0.0012733476469293,0.0,0.0010179725962059,0.1960545690464122,0.2694883785609688,0.10078443445280301
2016-06-03,Sunam,0.0,0.0,0.0012547405869034,0.0,0.0053237890117868,0.2190683744847774,0.2695125719266278,0.06366861460900419
2016-06-04,Dhuri,0.0,0.0,0.0,0.0,0.0027759640467014,1.4325578998435626,2.7203025872057136,0.2511866194487915
2016-06-04,Lehra,0.0,0.0,0.0,0.0,0.0008840791124384,2.0548798888921738,4.1692135483026505,0.9018755624315414
2016-06-04,Malerkotla,0.0,0.0,0.0,0.0,0.016144480522988,1.4130718920912062,2.922065913677216,0.19171617927034573
2016-06-04,Moonak,0.0,0.0,0.0,0.0,0.0,1.8396755556265516,3.188022037347158,0.921947542212266
2016-06-04,Sangrur,0.0,0.0,0.0,0.0,0.0017934289332645,1.837802814585822,3.554087213107518,0.40740726436766367
2016-06-04,Sunam,0.0,0.0,0.0,0.0,0.0007127362249385,1.7063585945538111,3.250309177807399,0.401174431881776
2016-06-05,Dhuri,0.0,0.0,0.0005010827881051,0.0155750361948528,4.295185479250821,0.4291204132817008,0.4622519151730971,0.8792228632835125
2016-06-05,Lehra,0.0,0.0,0.0012195617018733,0.0216856390470638,1.0961519069969654,0.945695023983717,0.3986363373696804,1.2730287947571153
2016-06-05,Malerkotla,0.0005039516961135,0.0,0.0,0.0279094256527189,5.454833882195609,0.4038770422339439,0.4685493388346263,0.6919707657823027
2016-06-05,Moonak,0.0,0.0,0.0,0.0325960755969087,1.1210182507832844,1.075042501091957,0.5848113919297854,1.0762210202490035
2016-06-05,Sangrur,0.0,0.0,0.001517218130175,0.0230274236361895,3.651487669774464,0.7018156892486981,0.5426040036337716,0.9511102698667013
2016-06-05,Sunam,0.0,0.0,0.0012950247951916,0.0256002721642809,2.392075564180101,0.9626673587730952,0.5389054172805378,0.8030618396880294
2016-06-06,Dhuri,0.0,0.0180760858665135,0.0358292742378332,3.008933273228732,1.09848044406284,1.779556859623302,1.0371024987914346,1.8275881843561632
2016-06-06,Lehra,0.0,0.0889691563788801,0.0760419894941151,2.510859251022339,3.251995414495468,3.8327259570360175,0.7163114100694656,2.0433231893203416
2016-06-06,Malerkotla,0.0,0.0133470120573682,0.016534086034101,3.1412663630076816,0.862748173730714,1.7128697037696838,1.1132588045937677,1.4748332011646113
2016-06-06,Moonak,0.0,0.1010956605896353,0.0810383111238479,2.236680249373118,3.871201515197754,4.270974655946096,0.8684649765491486,1.963658358596141
2016-06-06,Sangrur,0.0,0.02068218369303,0.0747172143310308,3.1801284551620483,1.6645902948720117,2.53140475494521,1.258304334112576,1.7337259944620178
