forecast_date,block,gefs_d1,gefs_d2,gefs_d3,gefs_d4,gefs_d5,gefs_d6,gefs_d7,rain_1d,rain_3d,rain_7d,rain_14d,rain_30d,rain_lag_1,rain_lag_2,rain_lag_3,rain_lag_4,rain_lag_5,rain_lag_6,rain_lag_7,enso_value,sin_day_of_year,cos_day_of_year,soil_clay,soil_sand,soil_silt,soil_soc,soil_ph,latitude,longitude,target_7d_rainfall_mm
2009-12-31,Dhuri,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,0.7985316558387412
2009-12-31,Lehra,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,0.1772209474096287
2009-12-31,Malerkotla,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,1.3970225509318224
2009-12-31,Moonak,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,0.391119246105383
2009-12-31,Sangrur,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,1.3126518872881872
2009-12-31,Sunam,0.0,,,,,,,,,,,,,,,,,,,1.46,-0.01721335615583528,0.9998518392091162,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,0.4106174923763836
2010-01-01,Dhuri,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,0.7985316558387412
2010-01-01,Lehra,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,0.1772209474096287
2010-01-01,Malerkotla,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,1.3970225509318224
2010-01-01,Moonak,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,0.391119246105383
2010-01-01,Sangrur,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,1.3126518872881872
2010-01-01,Sunam,0.0,,,,,,,0.0,,,,,,,,,,,,1.74,0.0,1.0,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,0.4106174923763836
2010-01-02,Dhuri,0.0,,,,,,,0.0002889147932187894,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,0.7982427410455224
2010-01-02,Lehra,0.0,,,,,,,0.0050809842745055,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,0.1721399631351232
2010-01-02,Malerkotla,0.0,,,,,,,1.937683570469333e-05,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,292.24928703237714,292.9849018621037,385.5811105519208,12.779374266062742,7.658152994464016,30.539499006369564,75.8914762749067,1.3970031740961175
2010-01-02,Moonak,0.0,,,,,,,0.0204995465310212,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,246.17985720795988,415.1828953364727,316.90110891690716,10.861537293027494,7.851496278292572,29.81897895650148,75.96098934604422,0.3706196995743618
2010-01-02,Sangrur,0.0,,,,,,,0.0012439823136226,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,273.19281788200806,331.9454745327959,362.60872114327594,12.245415903261268,7.69876877977281,30.237506740292186,75.89485210041725,1.3114079049745646
2010-01-02,Sunam,0.0,,,,,,,0.0024632835179123,,,,,0.0,,,,,,,1.74,0.017213356155834685,0.9998518392091162,264.08,368.5585046728972,339.69667289719627,12.158168224299065,7.7732261682243,30.080899456897395,75.86094105222081,0.4081542088584713
2010-07-15,Dhuri,0.0,,,,,,,0.4467558642073118,5.038390709972359,38.64077650044776,106.2448002552623,126.79067753231021,0.4000891493816995,4.191545696383348,19.77535726665884,13.050043403332449,0.4118441796369653,0.3651409408471401,1.056820973054963,-0.69,-0.2135209154397959,-0.9769384927771817,271.60486263999235,323.33339714750645,377.0146453527328,12.650196228582368,7.703675696372164,30.395236358640826,75.80313990230327,76.38049548408519
2010-07-15,Lehra,0.0,,,,,,,0.0751615566429898,2.2338702724228425,15.705246523980243,87.36652209863402,88.7252092646957,0.2887569051370997,1.8699518106427528,11.917031738215677,1.1479827166804375,0.1543257763814916,0.2520360202797952,0.5625359502941443,-0.69,-0.2135209154397959,-0.9769384927771817,254.91306981674995,414.3031955171892,309.57352718461306,11.039694078449191,7.871361502347417,29.937095996137337,75.81171596771253,72.36743979932093
