forecast_date,url,status_code,available,content_length_bytes,content_length_mb,local_file_exists
2010-02-07,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/07/c3g_2010.02.07.tif,200.0,True,68734644.0,65.55,False
2010-02-08,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/08/c3g_2010.02.08.tif,200.0,True,68963728.0,65.77,False
2010-02-09,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/09/c3g_2010.02.09.tif,200.0,True,67294096.0,64.18,False
2010-02-10,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/10/c3g_2010.02.10.tif,200.0,True,69052616.0,65.85,False
2010-02-11,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/11/c3g_2010.02.11.tif,200.0,True,65417374.0,62.39,False
2010-02-12,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/12/c3g_2010.02.12.tif,200.0,True,65548284.0,62.51,False
2010-02-13,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/13/c3g_2010.02.13.tif,200.0,True,68624584.0,65.45,False
2010-02-14,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/14/c3g_2010.02.14.tif,200.0,True,68744702.0,65.56,False
2010-02-15,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/15/c3g_2010.02.15.tif,200.0,True,76885854.0,73.32,False
2010-02-16,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/16/c3g_2010.02.16.tif,200.0,True,69207762.0,66.0,False
2010-02-17,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/17/c3g_2010.02.17.tif,200.0,True,68850628.0,65.66,False
2010-02-18,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/18/c3g_2010.02.18.tif,200.0,True,66863384.0,63.77,False
2010-02-19,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/19/c3g_2010.02.19.tif,200.0,True,76705706.0,73.15,False
2010-02-20,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/20/c3g_2010.02.20.tif,200.0,True,68479446.0,65.31,False
2010-02-21,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/21/c3g_2010.02.21.tif,200.0,True,68845002.0,65.66,False
2010-02-22,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/22/c3g_2010.02.22.tif,200.0,True,69329348.0,66.12,False
2010-02-23,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/23/c3g_2010.02.23.tif,200.0,True,67154798.0,64.04,False
2010-02-24,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/24/c3g_2010.02.24.tif,200.0,True,69366666.0,66.15,False
2010-02-25,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/25/c3g_2010.02.25.tif,200.0,True,69419170.0,66.2,False
2010-02-26,https://data.chc.ucsb.edu/products/CHIRPS-GEFS/v3/daily/global/2010/02/26/c3g_2010.02.26.tif,200.0,True,68245742.0,65.08,False
