system:index,block,date,rainfall_mm,.geo
20100109_00000000000000000000,Dhuri,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000001,Lehra,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000002,Malerkotla,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000003,Moonak,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000004,Sangrur,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100109_00000000000000000005,Sunam,2010-01-09,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000000,Dhuri,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000001,Lehra,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000002,Malerkotla,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000003,Moonak,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000004,Sangrur,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100110_00000000000000000005,Sunam,2010-01-10,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000000,Dhuri,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000001,Lehra,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000002,Malerkotla,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000003,Moonak,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000004,Sangrur,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100111_00000000000000000005,Sunam,2010-01-11,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000000,Dhuri,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000001,Lehra,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000002,Malerkotla,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000003,Moonak,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000004,Sangrur,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100112_00000000000000000005,Sunam,2010-01-12,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000000,Dhuri,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000001,Lehra,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000002,Malerkotla,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000003,Moonak,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000004,Sangrur,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100113_00000000000000000005,Sunam,2010-01-13,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000000,Dhuri,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000001,Lehra,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000002,Malerkotla,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000003,Moonak,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000004,Sangrur,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100114_00000000000000000005,Sunam,2010-01-14,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000000,Dhuri,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000001,Lehra,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000002,Malerkotla,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000003,Moonak,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000004,Sangrur,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100115_00000000000000000005,Sunam,2010-01-15,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000000,Dhuri,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000001,Lehra,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000002,Malerkotla,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000003,Moonak,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000004,Sangrur,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100116_00000000000000000005,Sunam,2010-01-16,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117_00000000000000000000,Dhuri,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20100117_00000000000000000001,Lehra,2010-01-17,0.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
